Date,ID,Name,Rating,Tag,Commit,Note
2024/2/1,CF1858E2,Rollbacks (Hard Version),2804,revertable_stack,a7877674,
2024/2/1,CF1821F,Timber,2718,fft; combinatorics,e919faf3,
2024/2/1,CF1798F,Gifts from Grandfather Ahmed,2785,,bd6ed9f0,
2024/2/1,CF1924D,Balanced Subsequences,2743,catalan,e73ea772,[post](https://www.luogu.com.cn/blog/flan/solution-cf1924d)
2024/2/2,CF1799F,Halve or Subtract,2756,revertable_greedy,1fd46c79,
2024/2/3,CF1804F,Approximate Diameter,2793,,f4263e9c,
2024/2/4,CF1866K,Keen Tree Calculation,2817,lichao,d50df078,
2024/2/4,arc171_a,No Attacking,711,,983583da,
2024/2/4,arc171_b,Chmax,1348,,983583da,
2024/2/4,arc171_c,Swap on Tree,2185,,983583da,
2024/2/5,CF1778F,Maximizing Root,2748,,ecc11865,
2024/2/5,CF1765C,Card Guessing,2800,,ae785e76,
2024/2/5,CF1750F,Majority,2819,,e16ecf50,
2024/2/6,CF1792F1,Graph Coloring (easy version),2719,,354ab114,
2024/2/7,CF1927A,Make it White,311,,7b8b1445,
2024/2/7,CF1927B,Following the String,780,,7b8b1445,
2024/2/7,CF1927C,Choose the Different Ones!,947,,7b8b1445,
2024/2/7,CF1927D,Find the Different Ones!,1246,,7b8b1445,
2024/2/7,CF1927E,Klever Permutation,1464,,7b8b1445,
2024/2/7,CF1927F,Microcycle,2072,,7b8b1445,
2024/2/7,CF1927G,Paint Charges,2427,dp,7b8b1445,
2024/2/7,CF1792F2,Graph Coloring (hard version),3015,fft; combinatorics,6ffca4e0,
2024/2/7,CF1781F,Bracket Insertion,2754,dp; combinatorics,70efdfd3,
2024/2/8,CF1762E,Tree Sum,2730,,616daf50,
2024/2/9,CF1774F2,Magician and Pigs (Hard Version),2756,,a80ae602,
2024/2/14,CF1849F,XOR Partition,2828,,311b5f17,
2024/2/14,CF1827D,Two Centroids,2830,,69a354ff,
2024/2/14,CF1736E,Swap and Take,2822,,a32aceac,
2024/2/15,CF1699E,Three Days Grace,2763,,20b96b55,
2024/2/16,CF1929A,Sasha and the Beautiful Array,231,,c6fb90fb,
2024/2/16,CF1929B,Sasha and the Drawing,689,,c6fb90fb,
2024/2/16,CF1929C,Sasha and the Casino,1383,,c6fb90fb,
2024/2/16,CF1929D,Sasha and a Walk in the City,1971,,c6fb90fb,
2024/2/16,CF1929E,Sasha and the Happy Tree Cutting,2363,,c6fb90fb,
2024/2/16,CF1929F,Sasha and the Wedding Binary Search Tree,2407,,c6fb90fb,
2024/2/16,CF1844F2,Min Cost Permutation (Hard Version),2882,,d4b2bd1b,
2024/2/17,CF1842G,Tenzing and Random Operations,2886,combinatorics,aebd3443,
2024/2/18,CF1930A,Maximise The Score,514,,c8b454cd,
2024/2/18,CF1930B,Permutation Printing,877,,c8b454cd,
2024/2/18,CF1930C,Lexicographically Largest,1592,,c8b454cd,
2024/2/18,CF1930D1,Sum over all Substrings (Easy Version),1734,,c8b454cd,
2024/2/18,CF1930D2,Sum over all Substrings (Hard Version),2023,,c8b454cd,
2024/2/18,CF1930E,2..3...4.... Wonderful! Wonderful!,2417,,c8b454cd,
2024/2/18,CF1930F,Maximize the Difference,2750,,c8b454cd,
2024/2/20,CF1730F,Almost Sorted,2895,,bc32c546,
2024/2/22,CF1762F,Good Pairs,2859,,e5f55e00,
2024/2/23,CF1725J,Journey,2795,,9f5e8f15,
2024/2/25,CF1728G,Illumination,2854,,71a2ec2f,
2024/2/26,CF1662G,Gastronomic Event,2806,,73ce5f71,
2024/2/27,abc332_g,Not Too Many Balls,2684,conclusion,161a0fd8,
2024/2/28,arc169_d,Add to Make a Permutation,2735,,2.95E+83,
2024/2/28,arc165_e,Random Isolation,2708,combinatorics,24d6012d,
2024/2/28,abc331_g,Collect Them All,2610,,85d2ba56,
2024/2/29,abc318_h,Count Strong Test Cases,2714,,7f7ca20c,
